Day,Time,Description
10-06-2025,08:00,Build CRM Decommissioning Work From Home Billable
04-06-2025,08:00,Build CRM Decommissioning Work From Home Billable
04-06-2025,00:30,Build CRM Decommissioning Work From Home Non Billable
02-06-2025,08:00,Build CRM Decommissioning Work From Home Billable
02-06-2025,00:30,Build CRM Decommissioning Work From Home Non Billable
30-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
30-05-2025,00:30,Practice Initiatives Work From Home
29-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
28-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
26-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
23-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
23-05-2025,01:15,Build CRM Decommissioning Work From Home Non Billable
21-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
21-05-2025,01:00,Build CRM Decommissioning Work From Home Non Billable
19-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
19-05-2025,01:30,Build CRM Decommissioning Work From Home Non Billable
16-05-2025,07:00,Build CRM Decommissioning Work From Home Billable
16-05-2025,00:30,Other - please leave a note in comments if you use this category Work From Home
16-05-2025,00:15,Build CRM Decommissioning Work From Home Non Billable
15-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
15-05-2025,01:40,Build CRM Decommissioning Work From Home Non Billable
14-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
14-05-2025,00:30,Build CRM Decommissioning Work From Home Non Billable
13-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
13-05-2025,01:30,Build CRM Decommissioning Work From Home Non Billable
09-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
09-05-2025,01:00,Build CRM Decommissioning Work From Home Non Billable
08-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
08-05-2025,00:36,Build CRM Decommissioning Work From Home Non Billable
07-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
06-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
06-05-2025,01:15,Build CRM Decommissioning Work From Home Non Billable
02-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
02-05-2025,02:00,Data Hub and CPI Migration Work From Home Non Billable
02-05-2025,00:30,Build CRM Decommissioning Work From Home Non Billable
01-05-2025,08:00,Build CRM Decommissioning Work From Home Billable
01-05-2025,01:00,Build CRM Decommissioning Work From Home Non Billable
30-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
30-04-2025,00:30,Build CRM Decommissioning Work From Home Non Billable
29-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
29-04-2025,01:30,Build CRM Decommissioning Work From Home Non Billable
24-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
24-04-2025,00:50,Build CRM Decommissioning Work From Home Non Billable
23-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
23-04-2025,00:40,Build CRM Decommissioning Work From Home Non Billable
22-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
22-04-2025,01:00,Build CRM Decommissioning Work From Home Non Billable
17-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
17-04-2025,00:30,Build CRM Decommissioning Work From Home Non Billable
16-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
16-04-2025,00:39,Build CRM Decommissioning Work From Home Non Billable
